Index,Timestamp,Indicator
1,428,1
2,429,1
3,431,1
4,432,1
5,434,1
6,435,0
7,437,0
8,438,1
9,440,1
10,441,0
11,443,0
12,444,1
13,446,0
14,447,1
15,448,0
16,450,1
17,452,0
18,453,0
19,455,1
20,456,0
21,458,0
22,459,1
23,461,1
24,462,0
25,464,0
26,465,1
27,466,0
28,468,1
29,470,0
30,471,1
31,472,0
32,474,1
33,476,0
34,477,0
35,479,1
36,480,0
37,482,1
38,484,0
39,485,1
40,486,0
41,488,0
42,489,1
43,490,0
44,492,0
45,493,1
46,495,1
47,496,0
48,498,0
49,500,0
50,501,1
51,502,1
52,504,0
53,505,1
54,506,0
55,508,0
56,510,0
57,511,1
58,512,0
59,514,1
60,516,1
61,517,0
62,519,0
63,520,1
64,522,0
65,523,1
66,524,0
67,526,1
68,528,0
69,529,1
70,531,0
71,532,0
72,534,1
73,536,0
74,537,1
75,538,0
76,540,1
77,542,0
78,543,1
79,544,0
80,546,0
81,547,1
82,548,0
83,550,1
84,552,0
85,553,1
86,554,0
87,556,1
88,558,0
89,559,0
90,561,1
91,562,0
92,564,1
93,566,0
94,567,1
95,568,0
96,570,0
97,571,1
98,572,0
99,574,1
100,576,0
101,577,0
102,578,0
103,580,1
104,581,1
105,582,0
106,584,1
107,586,0
108,587,0
109,589,0
110,590,0
111,592,1
112,594,0
113,595,1
114,596,1
115,598,1
116,600,0
117,601,1
118,602,0
119,604,1
120,605,0
121,607,0
122,608,1
123,610,0
124,611,1
125,612,0
126,614,1
127,616,0
128,617,0
129,619,1
130,620,1
131,622,0
132,623,0
133,625,1
134,626,0
135,628,1
136,630,0
137,631,1
138,632,0
139,634,1
140,636,0
141,637,1
142,638,0
143,640,0
144,641,1
145,642,0
146,644,1
147,646,0
148,647,1
149,648,0
150,650,1
151,652,0
152,653,1
153,654,0
154,656,0
155,657,1
156,658,0
157,660,1
158,662,0
159,663,1
160,664,0
161,666,1
162,668,0
163,669,1
164,670,0
165,672,0
166,674,0
167,675,1
168,677,1
169,678,0
170,680,1
171,682,0
172,683,1
173,684,0
174,686,1
175,687,0
176,689,0
177,690,1
178,692,0
179,693,1
180,694,0
181,696,1
182,698,0
183,699,1
184,700,0
185,702,1
186,704,0
187,705,0
188,707,1
189,708,0
190,710,0
191,711,1
192,713,1
193,714,0
194,716,1
195,717,0
196,719,0
197,720,1
198,722,0
199,723,1
200,724,0
201,726,1
202,727,0
203,729,0
204,730,1
205,732,1
206,733,0
207,735,0
208,736,1
209,738,0
210,739,1
211,740,0
212,742,1
213,744,0
214,745,1
