Index,Timestamp,Indicator
6886,17454,1
6887,17456,1
6888,17459,1
6889,17461,1
6890,17464,1
6891,17466,1
6892,17468,1
6893,17471,1
6894,17473,1
6895,17476,1
6896,17478,1
6897,17481,1
6898,17483,1
6899,17486,1
6900,17488,1
6901,17491,1
6902,17493,1
6903,17496,1
6904,17498,1
6905,17501,1
6906,17503,1
6907,17506,1
6908,17508,1
6909,17511,1
6910,17513,1
6911,17516,1
6912,17518,1
6913,17521,1
6914,17523,1
6915,17526,1
6916,17528,1
6917,17531,1
6918,17533,1
6919,17536,1
6920,17538,1
6921,17541,1
6922,17543,1
6923,17546,1
6924,17548,1
6925,17551,1
6926,17553,1
6927,17556,1
6928,17558,1
6929,17561,1
6930,17563,1
6931,17566,1
6932,17568,1
6933,17571,1
6934,17573,1
6935,17576,1
6936,17578,1
6937,17581,1
6938,17583,1
6939,17586,1
6940,17588,1
6941,17591,1
6942,17593,1
6943,17595,1
6944,17598,0
6945,17600,1
6946,17603,1
6947,17605,1
6948,17608,1
6949,17610,1
6950,17613,1
6951,17615,1
6952,17618,1
6953,17620,1
6954,17623,1
6955,17625,1
6956,17628,1
6957,17630,1
6958,17633,1
6959,17635,1
6960,17638,1
6961,17640,1
6962,17643,1
6963,17645,1
6964,17648,1
6965,17650,1
6966,17653,1
6967,17655,1
6968,17658,1
6969,17660,1
6970,17663,1
6971,17665,1
6972,17668,1
6973,17670,1
6974,17673,1
6975,17675,1
6976,17678,1
6977,17680,1
6978,17683,1
6979,17685,1
6980,17688,1
6981,17690,1
6982,17693,1
6983,17695,1
6984,17698,1
6985,17700,1
6986,17703,1
6987,17705,1
6988,17708,1
6989,17710,1
6990,17713,1
6991,17715,1
6992,17717,1
6993,17720,1
6994,17722,1
6995,17725,1
6996,17727,1
6997,17730,1
6998,17732,1
6999,17735,1
7000,17737,1
7001,17740,1
7002,17742,1
7003,17745,1
7004,17747,1
7005,17750,1
7006,17752,1
7007,17755,1
7008,17757,1
7009,17760,1
7010,17762,1
7011,17765,1
7012,17767,1
7013,17770,1
7014,17772,1
7015,17775,1
7016,17777,1
7017,17780,1
7018,17782,1
7019,17785,1
7020,17787,1
7021,17790,1
7022,17792,1
7023,17795,1
7024,17797,1
7025,17800,1
7026,17802,1
7027,17805,1
7028,17807,1
7029,17810,1
7030,17812,1
7031,17815,1
7032,17817,1
7033,17820,1
7034,17822,1
7035,17825,1
7036,17827,1
7037,17830,1
7038,17832,1
7039,17835,1
7040,17837,1
7041,17840,1
7042,17842,1
7043,17844,1
7044,17847,1
7045,17849,1
7046,17852,1
7047,17854,1
7048,17857,1
7049,17859,1
7050,17862,1
7051,17864,1
7052,17867,1
7053,17869,1
7054,17872,1
7055,17874,1
7056,17877,1
7057,17879,1
7058,17882,1
7059,17884,1
7060,17887,1
7061,17889,1
7062,17892,1
7063,17894,1
7064,17897,1
7065,17899,1
7066,17902,1
7067,17904,1
7068,17907,1
7069,17909,1
7070,17912,1
7071,17914,1
7072,17917,1
7073,17919,1
7074,17922,1
7075,17924,1
7076,17927,1
7077,17929,1
7078,17932,1
7079,17934,1
7080,17937,1
7081,17939,1
7082,17942,1
7083,17944,1
7084,17947,1
7085,17949,1
7086,17952,1
7087,17954,1
7088,17957,1
7089,17959,1
7090,17962,1
7091,17964,1
7092,17966,1
7093,17969,1
7094,17971,1
7095,17974,1
7096,17976,1
7097,17979,1
7098,17981,1
7099,17984,1
7100,17986,1
7101,17989,1
7102,17991,1
7103,17994,1
7104,17996,1
7105,17999,1
7106,18001,1
7107,18004,1
7108,18006,1
7109,18009,1
7110,18011,1
7111,18014,1
7112,18016,1
7113,18019,1
7114,18021,1
7115,18024,1
7116,18026,1
7117,18029,1
7118,18031,1
7119,18034,1
7120,18036,1
7121,18039,1
7122,18041,1
7123,18044,1
7124,18046,1
7125,18049,1
7126,18051,1
7127,18054,1
7128,18056,1
7129,18059,1
7130,18061,1
7131,18064,1
7132,18066,1
7133,18069,1
7134,18071,1
7135,18074,1
7136,18076,1
7137,18079,1
7138,18081,1
7139,18084,1
7140,18086,1
7141,18089,1
7142,18091,1
7143,18093,1
7144,18096,1
7145,18098,1
7146,18101,1
7147,18103,1
7148,18106,1
7149,18108,1
7150,18111,1
7151,18113,1
7152,18116,1
7153,18118,1
7154,18121,1
7155,18123,1
7156,18126,1
7157,18128,1
7158,18131,1
7159,18133,1
7160,18136,1
7161,18138,1
7162,18141,1
7163,18143,1
7164,18146,1
7165,18148,1
7166,18151,1
7167,18153,1
7168,18156,1
7169,18158,1
7170,18161,1
7171,18163,1
7172,18166,1
7173,18168,1
7174,18171,1
7175,18173,1
7176,18176,1
7177,18178,1
7178,18181,1
7179,18183,1
7180,18186,1
7181,18188,1
7182,18190,0
7183,18193,1
7184,18196,1
7185,18198,1
7186,18201,1
7187,18203,1
7188,18206,0
7189,18208,0
7190,18211,1
7191,18213,1
7192,18215,1
7193,18218,0
7194,18220,1
7195,18222,0
7196,18225,1
7197,18227,0
7198,18230,0
7199,18232,0
7200,18235,0
7201,18237,0
7202,18240,0
7203,18242,0
7204,18245,0
7205,18247,0
7206,18250,0
7207,18252,0
7208,18255,0
7209,18257,0
7210,18260,0
7211,18262,0
7212,18265,0
7213,18267,0
7214,18270,0
7215,18272,0
7216,18275,0
7217,18277,0
7218,18280,0
7219,18282,0
7220,18285,0
7221,18287,0
7222,18290,0
7223,18292,0
7224,18295,0
7225,18297,0
7226,18300,0
7227,18302,0
7228,18305,0
7229,18307,0
7230,18310,0
7231,18312,0
7232,18315,0
7233,18317,0
7234,18320,0
7235,18322,0
7236,18325,0
7237,18327,0
7238,18330,0
7239,18332,0
7240,18335,0
7241,18337,0
7242,18340,0
7243,18342,0
7244,18345,0
7245,18347,0
7246,18350,0
7247,18352,0
7248,18355,0
7249,18357,0
7250,18360,0
7251,18362,0
7252,18365,0
7253,18367,0
7254,18370,0
7255,18372,0
7256,18374,0
7257,18377,0
7258,18379,0
7259,18382,0
7260,18384,0
7261,18387,0
7262,18389,0
7263,18392,0
7264,18394,0
7265,18397,0
7266,18399,0
7267,18402,0
7268,18404,0
7269,18407,0
7270,18409,0
7271,18412,0
7272,18414,0
7273,18417,0
7274,18419,0
7275,18422,0
7276,18424,0
7277,18427,0
7278,18429,0
7279,18432,0
7280,18434,0
7281,18437,0
7282,18439,0
7283,18442,0
7284,18444,0
7285,18447,0
7286,18449,0
7287,18452,0
7288,18454,0
7289,18457,0
7290,18459,0
7291,18462,0
7292,18464,0
7293,18467,0
7294,18469,0
7295,18472,0
7296,18474,0
7297,18477,0
7298,18479,0
7299,18482,0
7300,18484,0
7301,18487,0
7302,18489,0
7303,18492,0
7304,18494,0
7305,18497,0
7306,18499,0
7307,18502,0
7308,18504,0
7309,18507,0
7310,18509,0
7311,18512,0
7312,18514,0
7313,18517,0
7314,18519,0
7315,18522,0
7316,18524,1
7317,18527,1
7318,18530,0
7319,18532,0
7320,18534,0
7321,18537,1
7322,18539,1
7323,18542,1
7324,18544,0
7325,18547,1
7326,18549,1
7327,18552,0
7328,18554,1
7329,18557,1
7330,18559,1
7331,18562,0
7332,18564,1
7333,18567,1
7334,18569,1
7335,18572,1
7336,18574,0
7337,18577,1
7338,18580,0
7339,18582,1
7340,18584,1
7341,18587,1
7342,18589,1
7343,18591,1
7344,18594,1
7345,18596,0
7346,18599,1
7347,18601,1
7348,18604,1
7349,18606,1
7350,18609,1
7351,18611,1
7352,18614,1
7353,18616,1
7354,18619,1
7355,18621,1
7356,18624,1
7357,18626,1
7358,18629,1
7359,18631,1
7360,18634,1
7361,18636,1
7362,18639,1
7363,18641,1
7364,18644,1
7365,18646,1
7366,18649,1
7367,18651,1
7368,18654,1
7369,18656,1
7370,18659,1
7371,18661,1
7372,18664,1
7373,18666,1
7374,18669,1
7375,18671,1
7376,18674,1
7377,18676,1
7378,18679,1
7379,18681,1
7380,18684,0
7381,18686,1
7382,18688,0
7383,18691,0
7384,18694,0
7385,18696,1
7386,18699,1
7387,18701,1
7388,18704,1
7389,18706,1
7390,18709,1
7391,18711,1
7392,18713,1
7393,18716,1
7394,18718,1
7395,18721,1
7396,18723,1
7397,18726,1
7398,18728,1
7399,18731,1
7400,18733,1
7401,18736,1
7402,18738,1
7403,18741,1
7404,18743,1
7405,18746,1
7406,18748,1
