Timestamp ID Value1 Value2 Value3 Value4 Byte1 Byte2 Byte3 Byte4
142172 0x2314 0 0 0 0 0 0 0 0
142894 0x2014 0 0 0 0 FF 1D 0 0
142901 0x2114 0 0 0 0 FF FF FF FF
142908 0x2214 0 C7 4 F5 2 FF FF FF
142172 0x2314 0 0 0 0 0 0 0 0
142894 0x2014 0 0 0 0 FF 1D 0 0
142901 0x2114 0 0 0 0 FF FF FF FF
142908 0x2214 0 C7 4 F5 2 FF FF FF
142172 0x2314 0 0 0 0 0 0 0 0
142923 0x2014 0 0 0 0 FF C6 0 0
142901 0x2114 0 0 0 0 FF FF FF FF
142908 0x2214 0 C7 4 F5 2 FF FF FF
142172 0x2314 0 0 0 0 0 0 0 0
142923 0x2014 0 0 0 0 FF C6 0 0
142931 0x2114 0 0 0 0 FF FF FF FF
142908 0x2214 0 C7 4 F5 2 FF FF FF
142172 0x2314 0 0 0 0 0 0 0 0
142923 0x2014 0 0 0 0 FF C6 0 0
142931 0x2114 0 0 0 0 FF FF FF FF
142908 0x2214 0 C7 4 F5 2 FF FF FF
142172 0x2314 0 0 0 0 0 0 0 0
142946 0x2014 0 0 0 0 FF 7B 0 0
142931 0x2114 0 0 0 0 FF FF FF FF
142908 0x2214 0 C7 4 F5 2 FF FF FF
142172 0x2314 0 0 0 0 0 0 0 0
142946 0x2014 0 0 0 0 FF 7B 0 0
142953 0x2114 0 0 0 0 FF FF FF FF
142908 0x2214 0 C7 4 F5 2 FF FF FF
142172 0x2314 0 0 0 0 0 0 0 0
142946 0x2014 0 0 0 0 FF 7B 0 0
142953 0x2114 0 0 0 0 FF FF FF FF
142908 0x2214 0 C7 4 F5 2 FF FF FF
142172 0x2314 0 0 0 0 0 0 0 0
142968 0x2014 0 0 0 0 FF 9C 0 1
142953 0x2114 0 0 0 0 FF FF FF FF
142908 0x2214 0 C7 4 F5 2 FF FF FF
142172 0x2314 0 0 0 0 0 0 0 0
142968 0x2014 0 0 0 0 FF 9C 0 1
142975 0x2114 0 0 0 0 FF FF FF FF
142908 0x2214 0 C7 4 F5 2 FF FF FF
142172 0x2314 0 0 0 0 0 0 0 0
142968 0x2014 0 0 0 0 FF 9C 0 1
142975 0x2114 0 0 0 0 FF FF FF FF
142983 0x2214 0 C7 4 F5 2 FF FF FF
142172 0x2314 0 0 0 0 0 0 0 0
142968 0x2014 0 0 0 0 FF 9C 0 1
142975 0x2114 0 0 0 0 FF FF FF FF
142983 0x2214 0 C7 4 F5 2 FF FF FF
142172 0x2314 0 0 0 0 0 0 0 0
142998 0x2014 0 0 0 0 FF AF 0 1
142975 0x2114 0 0 0 0 FF FF FF FF
142983 0x2214 0 C7 4 F5 2 FF FF FF
142172 0x2314 0 0 0 0 0 0 0 0
